feature_key,A_brain_met_auc_drop,C_death12m_auc_drop,feature_cn,A_score_0_100,C_score_0_100,quadrant,combined_score
histology,0.040315,0.0631401342986379,组织学类型,68.17221029135735,100.0,双高因素：既提示脑转移发生风险，也提示脑转移后死亡风险,168.17221029135735
age,0.027651,0.0590695696970705,年龄,46.75752912728072,93.55312647528655,双高因素：既提示脑转移发生风险，也提示脑转移后死亡风险,140.31065560256727
tumor_size,0.059137,0.0156583674463549,肿瘤大小,100.0,24.799388883613275,双高因素：既提示脑转移发生风险，也提示脑转移后死亡风险,124.79938888361328
bone_met,0.042469,0.0039951878706968,骨转移,71.81459999661803,6.327493463666875,发生风险主导因素：更偏向提示初诊脑转移风险,78.1420934602849
liver_met,0.012457,0.0280078833667167,肝转移,21.06464649880785,44.35828918932296,预后风险主导因素：更偏向提示脑转移后死亡风险,65.4229356881308
grade,0.028448,0.0,病理分级,48.10524713800159,0.0,发生风险主导因素：更偏向提示初诊脑转移风险,48.10524713800159
lung_met,0.011918,0.0018805132364313,肺内转移,20.153203578132135,2.978316814368682,低贡献因素：当前模型中综合贡献有限,23.131520392500818
sex,0.000813,0.0119013967823876,性别,1.3747738302585522,18.849178758627293,预后风险主导因素：更偏向提示脑转移后死亡风险,20.223952588885844
primary_site,0.001111,0.0026534187363052,原发部位,1.8786884691479107,4.202428084417997,低贡献因素：当前模型中综合贡献有限,6.0811165535659075
laterality,0.001358,-9.968645531499563e-05,左右侧,2.2963626832609028,-0.15788128489480602,低贡献因素：当前模型中综合贡献有限,2.1384813983660966
