bin,n,observed_rate,predicted_mean
"(0.165, 0.51]",1327,0.4853051996985682,0.44550340726511123
"(0.51, 0.587]",1326,0.6055806938159879,0.5499368919172454
"(0.587, 0.649]",1314,0.6529680365296804,0.617067377683195
"(0.649, 0.702]",1322,0.686838124054463,0.6780146284672619
"(0.702, 0.748]",1322,0.7140695915279879,0.7242024662787192
"(0.748, 0.789]",1322,0.7965204236006052,0.7689172064527128
"(0.789, 0.833]",1322,0.8184568835098336,0.8104732782070918
"(0.833, 0.874]",1322,0.8623298033282905,0.8536524259338527
"(0.874, 0.914]",1322,0.9009077155824509,0.8940202669651437
"(0.914, 0.98]",1323,0.9334845049130763,0.9362390885174082
